date,name,price,person,level,review_count,review_group,score,city,city_details,day,month,peak
2023-08-01,제주 이화호텔,60000,4인,관광,485.0,500 미만,4.2,제주시,용담이동,1,August,성수기
2023-08-01,제주 조이호텔 (구. R&T호텔),84900,4인,비지니스,194.0,500 미만,3.9,제주시,삼도이동,1,August,성수기
2023-08-01,제주 참피온 호텔,43667,2인,비지니스,94.0,500 미만,4.2,제주시,삼도일동,1,August,성수기
2023-08-01,제주 케이관광호텔,80000,4인,관광,95.0,500 미만,4.5,제주시,연동,1,August,성수기
2023-08-01,제주 토비스 콘도 (오션동),100000,2인,콘도,49.0,500 미만,3.5,제주시,애월읍,1,August,성수기
2023-08-01,제주 티라호텔,96965,2인,2성급,198.0,500 미만,4.8,서귀포시,성산읍,1,August,성수기
2023-08-01,제주 파인힐 호텔,56000,4인,3성급,171.0,500 미만,4.3,서귀포시,서귀동,1,August,성수기
2023-08-01,제주 팔레스호텔,74429,4인,3성급,561.0,500 이상,4.2,제주시,삼도이동,1,August,성수기
2023-08-01,제주 퍼시픽 호텔,165000,2인,4성급,20.0,500 미만,4.4,제주시,용담일동,1,August,성수기
2023-08-01,제주 하버호텔,77700,4인,2성급,317.0,500 미만,4.5,제주시,건입동,1,August,성수기
2023-08-01,제주 호텔 G,39000,2인,비지니스,150.0,500 미만,4.4,제주시,삼도일동,1,August,성수기
2023-08-01,"제주 휘슬락, BW 시그니처 컬렉션",160000,2인,4성급,2017.0,500 이상,4.5,제주시,건입동,1,August,성수기
2023-08-01,제주(애월) 마레보비치호텔,208500,4인,관광,184.0,500 미만,4.7,제주시,애월읍,1,August,성수기
2023-08-01,제주비치호텔W,166250,4인,비지니스,267.0,500 미만,4.1,제주시,조천읍,1,August,성수기
2023-08-01,제주스카이호텔,89000,2인,비지니스,356.0,500 미만,4.7,제주시,한림읍,1,August,성수기
2023-08-01,제주신라호텔,684200,2인,5성급,338.0,500 미만,4.9,서귀포시,색달동,1,August,성수기
2023-08-01,제주씨앤관광호텔,49900,4인,3성급,208.0,500 미만,4.0,제주시,내도동,1,August,성수기
2023-08-01,제주유니호텔,136900,2인,4성급,300.0,500 미만,4.5,제주시,애월읍,1,August,성수기
2023-08-01,제주캐슬,92500,4인,레지던스,32.0,500 미만,3.4,서귀포시,호근동,1,August,성수기
2023-08-01,제주호텔 스카브로,220000,2인,가족호텔,33.0,500 미만,4.8,서귀포시,하예동,1,August,성수기
2023-08-01,제주호텔더엠,82800,4인,비지니스,440.0,500 미만,4.4,서귀포시,서귀동,1,August,성수기
2023-08-01,코델리아 리조트,86780,2인,4성급,121.0,500 미만,4.2,서귀포시,성산읍,1,August,성수기
2023-08-01,코델리아 리조트,87800,4인,4성급,121.0,500 미만,4.2,서귀포시,성산읍,1,August,성수기
2023-08-01,코델리아S 호텔,61625,4인,가족호텔,438.0,500 미만,4.5,서귀포시,성산읍,1,August,성수기
2023-08-01,코업시티호텔 성산,113000,2인,비지니스,1131.0,500 이상,4.5,서귀포시,성산읍,1,August,성수기
2023-08-01,코업시티호텔 하버뷰,102667,2인,비지니스,703.0,500 이상,4.7,서귀포시,남원읍,1,August,성수기
2023-08-01,타마라 제주,36500,2인,비지니스,55.0,500 미만,4.3,서귀포시,법환동,1,August,성수기
2023-08-01,탐라스테이 호텔,117200,2인,4성급,544.0,500 이상,4.5,제주시,애월읍,1,August,성수기
2023-08-01,파르나스 호텔 제주,1415700,2인,5성급,173.0,500 미만,4.9,서귀포시,색달동,1,August,성수기
2023-08-01,파르나스 호텔 제주,1317085,4인,5성급,173.0,500 미만,4.9,서귀포시,색달동,1,August,성수기
2023-08-01,파미유 스파 리조트,140000,2인,3성급,54.0,500 미만,4.5,서귀포시,강정동,1,August,성수기
